"record_id","ed","np"
906125550,NA,NA
906125551,121.661244326626,192
906125561,NA,NA
906125582,144.7357870259,282
906125583,144.7357870259,282
906125584,144.7357870259,282
906125585,157.742750571532,342
906125586,157.742750571532,342
906125588,157.742750571532,342
906125595,137.490970382856,212
906125618,NA,NA
906125619,NA,NA
906125634,NA,NA
906125644,NA,NA
906125645,NA,NA
906125651,125.671881267549,250
906125652,127.467501203659,206
906125653,144.025989652268,237
906125654,NA,NA
906125666,130.410342889264,257
906125701,NA,NA
906125713,157.389635316699,353
906125730,NA,NA
906125755,118.288624243153,253
906125756,NA,NA
906125771,NA,NA
906125772,137.634926367321,240
906125828,NA,NA
906125848,NA,NA
906125849,NA,NA
906125850,146.904217326753,255
906125886,NA,NA
906125887,157.389635316699,353
906125888,NA,NA
906125896,NA,NA
906125916,NA,NA
906125951,NA,NA
906125952,NA,NA
906125953,139.377157075207,208
906125959,159.020670278948,342
906125960,138.414683016751,211
906126031,NA,NA
906126032,139.052661131833,277
906126045,138.244602010976,313
906126046,NA,NA
906126047,NA,NA
906126054,138.244602010976,313
906126055,134.866177119698,301
906126056,NA,NA
906126057,NA,NA
906126078,119.757838184588,261
906126079,NA,NA
906126085,NA,NA
906126086,147.934447249269,211
906126087,143.749249429566,282
906126088,143.636655432515,280
906126089,143.636655432515,280
906126094,NA,NA
906126103,152.50911129801,234
906126108,NA,NA
906126138,132.829071116981,255
906126139,139.052661131833,277
906126140,NA,NA
906126159,144.081371135672,191
906126180,159.020670278948,342
906126223,136.001281897208,321
906126224,114.345281052041,266
906126225,114.345281052041,266
906126226,132.049739269956,203
906126261,137.490970382856,212
906126270,144.7357870259,282
906126289,157.742750571532,342
906126310,135.322664741507,290
906126332,NA,NA
906126333,NA,NA
906126336,157.389635316699,353
906126339,130.010834236186,191
906126340,135.207657495294,192
906126350,127.217272654306,209
906126353,151.577173127859,302
906126356,NA,NA
906126357,NA,NA
906126377,129.54053403897,181
906126379,NA,NA
906126380,NA,NA
906126381,NA,NA
906126382,NA,NA
906126383,NA,NA
906126412,159.020670278948,342
906126413,159.020670278948,342
906126414,131.184347686633,200
906126417,NA,NA
906126418,NA,NA
906126430,157.742750571532,342
906126431,157.742750571532,342
906126448,144.7357870259,282
906126457,143.749249429566,282
906126519,NA,NA
906126520,NA,NA
906126521,NA,NA
906126522,NA,NA
906126523,NA,NA
906126524,NA,NA
906126525,NA,NA
906126526,NA,NA
906126527,NA,NA
906126528,NA,NA
906126600,NA,NA
906126601,NA,NA
906126606,NA,NA
906126607,NA,NA
906126608,NA,NA
906126609,NA,NA
906126616,NA,NA
906126617,NA,NA
906126618,NA,NA
906126619,NA,NA
906126631,NA,NA
906126640,119.757838184588,261
906126641,119.757838184588,261
906126642,NA,NA
906126643,159.753116107571,348
906126644,159.753116107571,348
906126645,159.753116107571,348
906126646,NA,NA
906126660,NA,NA
906126661,NA,NA
906126662,NA,NA
906126663,NA,NA
906126664,NA,NA
906126674,NA,NA
906126675,NA,NA
906126702,144.081371135672,191
906126703,121.661244326626,192
906126753,138.414683016751,211
906126754,NA,NA
906126804,122.663457681508,173
906126805,122.663457681508,173
906126810,151.322115384615,287
906126811,NA,NA
906126812,159.67127680898,345
906126813,138.244602010976,313
906126829,104.76534006653,239
906126830,136.001281897208,321
906126845,NA,NA
906126852,143.749249429566,282
906126853,143.749249429566,282
906126864,147.934447249269,211
906126865,NA,NA
906126872,147.652893225716,240
906126873,NA,NA
906126876,147.652893225716,240
906126877,NA,NA
906126898,NA,NA
906126899,130.410342889264,257
906126938,NA,NA
906126956,146.904217326753,255
906127008,NA,NA
906127028,119.491559404948,158
