"record_id","landcover_class"
906121834,"6"
906121835,"6"
906121836,"6"
906121840,"8"
906121841,"8"
906121845,"6"
906121846,"1"
906121849,"6"
906121850,"6"
906121858,"1"
906121859,"1"
906121860,"6"
906121861,"6"
906121862,"6"
906121864,"6"
906121865,"6"
906121866,"6"
906121880,"1"
906121881,"1"
906121882,"1"
906121883,"6"
906121901,"5"
906121902,"6"
906121909,"1"
906121910,"18"
906121911,"18"
906121912,"18"
906121914,"1"
906121915,"1"
906121916,"1"
906121922,"1"
906121923,"1"
906121924,"1"
906121935,"8"
906121936,"8"
906121937,"8"
906121962,"1"
906121973,"6"
906122000,"5"
906122005,"6"
906122006,"18"
906122136,"6"
906122137,"6"
906122138,"6"
906122141,"17"
906122142,"6"
906122152,"6"
906122153,"6"
906122175,"5"
906122176,"6"
906122177,"6"
906122178,"6"
906122187,"17"
906122188,"1"
906122189,"1"
906122244,"6"
906122250,"6"
906122251,"6"
906122258,"6"
906122259,"6"
906122260,"6"
906122308,"6"
906122309,"6"
906122310,"6"
906122321,"6"
906122348,"6"
906122377,"6"
906122389,"6"
906122390,"1"
906122391,"1"
906122461,"8"
906122511,"6"
906122522,"6"
906122523,"1"
906122557,"8"
906122569,"1"
906122570,"5"
906122571,"6"
906122578,"18"
906122579,"8"
906122580,"6"
906122581,"6"
906122589,"17"
906122590,"1"
906122602,"1"
906122606,"5"
906122607,"6"
906122616,"6"
906122617,"1"
906122637,"6"
906122638,"1"
906122646,"8"
906122647,"6"
906122652,"1"
906122653,"1"
906122654,"1"
906122705,"17"
906122734,"1"
906122735,"6"
906122736,"6"
906122737,"6"
906122764,"6"
906122765,"6"
906122788,"1"
906122789,"1"
906122790,"6"
906122791,"1"
906122792,"1"
906122793,"1"
906122804,"1"
906122805,"5"
906122806,"6"
906122815,"1"
906122816,"6"
906122832,"8"
906122845,"6"
906122846,"6"
906122847,"6"
906122856,"5"
906122857,"6"
906122858,"6"
906122869,"5"
906122870,"5"
906122871,"5"
906122872,"5"
906122873,"1"
906122874,"8"
906122882,"6"
906122890,"6"
906122891,"6"
906123020,"8"
906123021,"6"
906123022,"6"
906123049,"8"
906123136,"1"
906123143,"1"
906123144,"6"
906123145,"6"
906123174,"6"
906123192,"1"
906123193,"1"
906123194,"1"
906123195,"1"
906123212,"17"
906123213,"6"
906123227,"1"
906123231,"1"
906123232,"1"
906123233,"18"
906123256,"6"
906123283,"1"
906123284,"8"
906123286,"6"
906123287,"6"
906123288,"6"
906123348,"6"
906123349,"6"
906123350,"1"
906123351,"1"
906123354,"8"
906123417,"6"
906123418,"1"
906123423,"6"
906123425,"6"
906123463,"6"
906123481,"5"
906123482,"6"
906123483,"8"
906123485,"6"
906123486,"6"
906123487,"6"
906123495,"5"
906123496,"5"
906123497,"5"
906123498,"6"
906123578,"6"
906123579,"6"
906123580,"6"
906123581,"6"
906123582,"6"
906123583,"8"
906123592,"5"
906123620,"5"
906123621,"6"
906123622,"6"
906123623,"6"
906123648,"6"
906123663,"8"
906123664,"1"
906123665,"8"
906123718,"1"
906123719,"6"
906123720,"6"
906123731,"6"
906123732,"6"
906123734,"6"
906123742,"6"
906123743,"6"
906123748,"6"
906123749,"6"
906123821,"6"
906123822,"1"
906123823,"6"
906123824,"17"
906123847,"1"
906123848,"1"
906123849,"1"
906123850,"1"
906123861,"5"
906123862,"5"
906123863,"5"
906123864,"6"
906123865,"6"
906123866,"6"
906123867,"18"
906123868,"18"
906123881,"6"
906123882,"6"
906123883,"1"
906123884,"5"
906123885,"1"
906123890,"8"
906123892,"6"
906123893,"6"
906123896,"5"
906123897,"1"
906123903,"6"
906123904,"18"
906123905,"18"
906123906,"18"
906123907,"18"
906123925,"6"
906123959,"6"
906123960,"6"
906123961,"1"
906123982,"6"
906123983,"6"
906124002,"1"
906124003,"1"
906124004,"1"
906124005,"1"
906124021,"5"
906124022,"5"
906124023,"6"
906124024,"6"
906124025,"6"
906124026,"6"
906124027,"5"
906124030,"6"
906124031,"6"
906124045,"6"
906124065,"6"
906124066,"6"
906124076,"1"
906124081,"6"
906124082,"17"
906124083,"17"
906124088,"1"
906124089,"1"
906124098,"6"
906124099,"6"
906124100,"6"
906124130,"6"
906124134,"8"
906124135,"8"
906124136,"1"
906124144,"6"
906124145,"6"
906124184,"18"
906124185,"18"
906124188,"6"
906124189,"6"
906124190,"1"
906124191,"6"
906124194,"6"
906124195,"6"
906124196,"6"
906124201,"1"
906124202,"5"
906124203,"6"
906124204,"6"
906124205,"6"
906124206,"6"
906124207,"6"
906124208,"5"
906124209,"6"
906124216,"1"
906124217,"1"
906124218,"6"
906124219,"6"
906124220,"6"
906124227,"6"
906124232,"17"
906124233,"17"
906124234,"17"
906124261,"6"
906124262,"1"
906124263,"1"
906124267,"1"
906124268,"1"
906124269,"1"
906124277,"1"
906124278,"5"
906124279,"5"
906124289,"6"
906124299,"6"
906124304,"18"
906124305,"6"
906124306,"1"
906124307,"6"
906124315,"1"
906124316,"1"
906124317,"1"
906124318,"1"
906124333,"6"
906124334,"6"
906124335,"6"
906124336,"5"
906124346,"5"
906124347,"6"
906124348,"6"
906124349,"6"
906124350,"6"
906124367,"6"
906124368,"18"
906124378,"6"
906124379,"6"
906124380,"1"
906124381,"6"
906124387,"6"
906124388,"6"
906124389,"6"
906124390,"6"
906124396,"6"
906124398,"6"
906124399,"6"
906124400,"6"
906124401,"6"
906124408,"18"
906124409,"6"
906124410,"6"
906124414,"6"
906124415,"6"
906124421,"6"
906124422,"6"
906124424,"6"
906124427,"8"
906124428,"8"
906124429,"6"
906124442,"6"
906124443,"6"
906124444,"6"
906124445,"6"
906124446,"1"
906124449,"5"
906124450,"5"
906124469,"6"
906124470,"6"
906124505,"1"
906124507,"1"
906124508,"6"
906124514,"1"
906124515,"1"
906124529,"5"
906124530,"6"
906124571,"6"
906124572,"6"
906124573,"6"
906124602,"6"
906124649,"5"
906124650,"6"
906124651,"1"
906124652,"1"
906124654,"6"
906124657,"1"
906124674,"6"
906124675,"17"
906124676,"17"
906124680,"1"
906124763,"18"
906124766,"8"
906124772,"6"
906124773,"6"
906124774,"6"
906124775,"6"
906124782,"1"
906124803,"6"
906124804,"6"
906124824,"6"
906124836,"1"
906124837,"5"
906124840,"6"
906124847,"6"
906124848,"1"
906124849,"18"
906124850,"18"
906124886,"6"
906124887,"1"
906124914,"6"
906124921,"6"
906124925,"8"
906124926,"6"
906124927,"6"
906124928,"1"
906124929,"1"
906124989,"1"
906124990,"1"
906124993,"6"
906124994,"6"
906125010,"6"
906125029,"6"
906125038,"6"
906125039,"1"
906125068,"6"
906125084,"6"
906125085,"1"
906125086,"6"
906125087,"6"
906125140,"5"
906125141,"5"
906125142,"6"
906125143,"6"
906125144,"17"
906125145,"17"
906125175,"1"
906125183,"5"
906125184,"6"
906125189,"5"
906125196,"6"
906125235,"5"
906125239,"5"
